parallax,phot_g_mean_mag,bp_rp
0.12068567797459878,18.70736,0.6520767
0.20314516767211707,18.431526,0.6951504
0.03250453036045409,18.87929,0.7380142
0.14313155710750436,18.060324,0.7260246
0.0837634584310478,18.978884,0.71320343
0.10322303683900294,18.591066,0.67045593
-5.4301202806700655,19.43325,0.8590069
0.021094588394007956,17.70911,0.84884834
0.19722294372243715,17.964355,0.7113037
0.03345600745678245,18.079084,0.6811123
0.5367160296077814,19.18325,0.66028404
0.21346959449094677,17.66431,0.8260441
0.42391454471499246,18.739603,0.7038498
0.3961824238843745,18.545559,0.74308014
0.09791033398714745,19.102911,0.8181305
-0.9144917512441019,18.557308,0.6627846
0.14053377127992744,18.291847,0.70549583
-0.4881959950663534,18.54478,0.67743874
-1.5653605582987835,20.081182,0.90403366
0.22387903148698618,18.188274,0.6900406
0.1085297960855628,18.95773,0.6142616
-7.243265377837082E-4,18.57576,0.65179443
0.3679247795800261,19.698008,0.8870888
-0.12254666685815854,19.52095,0.65034676
-0.273472849791618,19.175459,0.82247925
0.5646296098829116,19.287651,0.79663086
0.10910666045130217,19.497309,0.70687866
0.3249251243949507,19.291265,0.6157837
0.2809746819956315,20.003891,
0.3913222486558845,19.75719,0.7864609
,20.364542,
-0.21607370248131474,20.00068,1.6792507
,20.737293,1.1375866
-0.0716156186772512,18.888655,0.72493744
-0.035253484295166726,19.679165,0.7414532
-1.52211970535242,19.75838,
0.8311421698253239,18.783602,0.67277145
-0.6433361960179805,20.069689,1.0181637
0.28661265453980966,19.705006,0.7632694
0.522365491045344,19.789112,0.55677795
0.058092820308617656,19.725471,0.80833626
0.1425638954050823,19.558868,0.71624756
0.5786543102261016,18.923971,0.63228226
0.41497047719286523,19.534678,0.7278938
0.46107685929534187,20.069822,0.7246113
-0.01490203754858923,19.890364,
0.7136530631722278,19.030493,0.7482643
,19.894018,
0.2724907553617775,18.56424,
,20.694658,
0.37756168688543196,19.647818,0.72543144
-0.2554088146285701,20.328224,
,20.64009,0.68486977
,21.21096,-0.8851166
,20.617336,0.70848274
-0.4065649519510617,19.874624,1.0586224
0.10522195446169359,19.53393,0.84140205
-0.03992604485602024,19.74703,0.40244675
0.3612550723391566,19.555979,0.7900028
,20.940062,
0.052639914674547414,19.218681,0.6400089
0.013402463464813528,19.280851,
0.10022699548098753,19.254793,1.011261
0.3722803654800627,19.93989,0.83869743
-0.3051644350431329,20.226223,0.9961872
-0.03150026492931042,20.066427,1.1355629
-0.6584365449511292,20.073166,0.7603893
4.504741167357459,19.42824,0.7890644
-0.011040345528336278,20.136478,0.9836674
0.09841978951086858,20.362675,1.2894535
0.1048716422437175,20.505508,1.2794209
1.3569309915667933,20.680002,0.8229828
-0.1159988233103223,20.13543,1.2031784
1.2292740087215637,20.703003,0.7497997
1.0944559448394875,20.310965,0.80547523
,20.817604,
0.19370834658178873,20.058277,0.6952019
-0.8294654949367528,20.533663,1.0046368
,20.866488,
0.8908905183221002,20.312096,
0.7322638208115827,20.292738,1.175787
0.9473449595170266,20.26865,0.9577217
0.7899805524129887,20.6522,0.7978287
,20.670511,0.85526085
0.65370587974711,20.647697,
1.32288054864138,20.456553,
-2.3445898320291607,20.573288,0.22733116
,20.732578,1.274971
0.3415211426315643,20.292269,
0.047186594694914374,20.467203,0.89925957
0.32457489231183634,18.133133,0.72140884
-0.027552302856964504,19.590118,0.7955704
0.9143130894967516,19.269241,0.93125534
,19.36065,0.84508514
0.8061002385886505,19.836319,0.8191681
0.16202348681629516,19.002,0.69903755
0.1676536629847195,17.981768,0.74041367
0.06071713692819398,14.939257,1.104723
0.9339241956575159,20.31901,
0.025733007039539676,20.15405,0.81692505
-0.603556012628069,20.447937,
0.40442244703010216,18.957386,0.7200947
0.09079116696000154,18.81956,
0.08326844355206853,15.170184,0.19849586
4.4899302028410964E-4,18.558237,0.68569946
0.2182091486754397,18.778662,0.7655449
-0.13827042000900985,17.616697,0.90241814
0.20941515063777214,18.375427,0.6453533
